,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
179,Western Kentucky,Sun Belt,-3.95,2.53,-1.41,98.55,100.19,-1.64
180,William & Mary,CAA,2.06,-3.49,-1.43,109.71,111.71,-2.00
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
181,Murray State,OVC (West),2.26,-3.93,-1.67,104.42,106.47,-2.06
182,Old Dominion,CUSA,-6.39,4.69,-1.70,96.94,99.10,-2.16
183,College of Charleston,CAA,-8.04,6.18,-1.87,95.69,98.63,-2.94
184,Morehead State,OVC (East),1.84,-3.74,-1.91,99.85,102.85,-3.00
185,Oakland,Horizon,5.06,-6.99,-1.93,107.71,110.09,-2.38
186,Youngstown State,Horizon,3.68,-5.74,-2.05,105.26,107.51,-2.26
187,South Carolina Upstate,A-Sun,-1.43,-0.76,-2.19,102.14,104.64,-2.50
188,Yale,Ivy,-4.26,2.05,-2.22,99.39,102.15,-2.75
189,Colgate,Patriot,-0.65,-1.59,-2.23,106.38,108.73,-2.35
190,Florida Gulf Coast,A-Sun,-2.90,0.48,-2.42,97.83,101.13,-3.30
191,Siena,MAAC,-2.28,-0.17,-2.45,98.75,101.29,-2.54
192,Bradley,MVC,-6.17,3.70,-2.47,98.23,102.07,-3.84
193,Oral Roberts,Southland,-1.23,-1.60,-2.83,104.31,107.53,-3.22
194,Northeastern,CAA,-3.93,0.97,-2.96,99.01,103.12,-4.11
195,Evansville,MVC,-0.26,-2.71,-2.98,101.07,105.07,-4.00
196,Northern Illinois,MAC (West),-9.66,6.66,-3.00,92.24,96.22,-3.98
197,Detroit Mercy,Horizon,-0.88,-2.15,-3.02,98.43,102.10,-3.67
198,Bowling Green State,MAC (East),-7.88,4.85,-3.03,91.45,95.30,-3.86
199,Fordham,A-10,4.12,-7.20,-3.08,106.36,109.69,-3.34
200,Northern Colorado,Big Sky,-0.18,-3.15,-3.33,106.79,111.01,-4.22
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
201,Northwestern State,Southland,12.17,-15.67,-3.50,105.29,109.36,-4.07
202,Wagner,NEC,-3.55,-0.11,-3.66,94.28,98.93,-4.65
203,Air Force,MWC,-4.56,0.85,-3.71,99.27,104.56,-5.29
204,Albany (NY),AEC,-6.42,2.71,-3.71,98.61,103.02,-4.41
205,East Carolina,CUSA,-0.84,-2.88,-3.72,103.54,109.38,-5.84
206,Southern,SWAC,-5.45,1.61,-3.85,93.85,98.61,-4.76
207,Miami (OH),MAC (East),-4.16,0.29,-3.88,96.94,102.11,-5.17
208,Elon,Southern,-1.94,-1.97,-3.91,101.50,106.50,-5.00
209,Montana,Big Sky,-3.48,-0.44,-3.92,105.60,110.56,-4.96
210,Robert Morris,NEC,-2.32,-1.63,-3.95,101.80,106.58,-4.77
211,Bryant,NEC,0.73,-4.86,-4.12,102.14,107.41,-5.27
212,Utah Valley,WAC,-7.44,3.22,-4.22,99.05,104.69,-5.63
213,Marshall,CUSA,-0.80,-3.51,-4.31,98.04,103.66,-5.61
214,Rider,MAAC,1.68,-6.11,-4.43,104.07,110.29,-6.22
215,Cal State Northridge,Big West,4.58,-9.04,-4.46,103.44,109.61,-6.17
216,North Texas,CUSA,-1.67,-2.82,-4.48,96.93,102.45,-5.52
217,Wofford,Southern,-9.22,4.69,-4.53,97.73,103.70,-5.97
218,Cal State Bakersfield,WAC,-4.86,0.32,-4.54,98.49,104.61,-6.12
219,St. Francis (NY),NEC,-5.36,0.80,-4.56,94.51,100.33,-5.82
220,Loyola (IL),MVC,-4.67,0.09,-4.58,99.91,106.45,-6.54
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
