Date,Team,Team Score,Opponent,Opponent Score,Team Result
11/11/13,Long Beach St,57,Arizona,91,Loss
11/11/13,Utah Valley,78,NC A&T,71,Win
11/11/13,NC A&T,71,Utah Valley,78,Loss
11/11/13,Sam Houston St,116,Hillsdale Bap,54,Win
11/11/13,Hillsdale Bap,54,Sam Houston St,116,Loss
11/11/13,Prairie View,100,Schreiner,73,Win
11/11/13,Schreiner,73,Prairie View,100,Loss
11/11/13,Northern Iowa,86,Coe,52,Win
11/11/13,Coe,52,Northern Iowa,86,Loss
11/11/13,Arkansas St,65,Jackson St,61,Win
11/11/13,Jackson St,61,Arkansas St,65,Loss
11/11/13,Texas Tech,88,Northern Arizona,68,Win
11/11/13,Northern Arizona,68,Texas Tech,88,Loss
11/11/13,SMU,89,Rhode Island,58,Win
11/11/13,Rhode Island,58,SMU,89,Loss
11/11/13,Incarnate Word,74,Trinity TX,62,Win
11/11/13,Trinity TX,62,Incarnate Word,74,Loss
11/11/13,UMBC,84,Eastern Univ,79,Win
11/11/13,Eastern Univ,79,UMBC,84,Loss
11/11/13,New Mexico St,95,Hawaii,88,Win
11/11/13,Hawaii,88,New Mexico St,95,Loss
11/11/13,TX Southern,113,Wiley,96,Win
11/11/13,Wiley,96,TX Southern,113,Loss
11/11/13,Ark Pine Bluff,67,Morehouse,54,Win
11/11/13,Morehouse,54,Ark Pine Bluff,67,Loss
11/11/13,Houston Bap,75,Crowley's Ridge,61,Win
11/11/13,Crowley's Ridge,61,Houston Bap,75,Loss
11/11/13,CS Bakersfield,97,UC Merced,54,Win
11/11/13,UC Merced,54,CS Bakersfield,97,Loss
11/11/13,W Michigan,63,Tennessee St,52,Win
11/11/13,Tennessee St,52,W Michigan,63,Loss
11/11/13,Gonzaga,93,Colorado St,61,Win
11/11/13,Colorado St,61,Gonzaga,93,Loss
11/11/13,St Mary's CA,85,Akron,63,Win
11/11/13,Akron,63,St Mary's CA,85,Loss
11/11/13,Wichita St,66,W Kentucky,49,Win
11/11/13,W Kentucky,49,Wichita St,66,Loss
11/11/13,BYU,112,Stanford,103,Win
11/11/13,Stanford,103,BYU,112,Loss
11/11/13,Richmond,69,Belmont,61,Win
11/11/13,Belmont,61,Richmond,69,Loss
11/11/13,Kent,81,Temple,77,Win
11/11/13,Temple,77,Kent,81,Loss
11/11/13,St Bonaventure,75,Abilene Chr,47,Win
11/11/13,Abilene Chr,47,St Bonaventure,75,Loss
11/11/13,Canisius,71,South Dakota,66,Win
11/11/13,South Dakota,66,Canisius,71,Loss
11/11/13,Coastal Car,76,Guilford,49,Win
11/11/13,Guilford,49,Coastal Car,76,Loss
11/11/13,Lipscomb,88,Oakland City,78,Win
11/11/13,Oakland City,78,Lipscomb,88,Loss
11/11/13,Kennesaw,92,Warren Wilson,48,Win
11/11/13,Warren Wilson,48,Kennesaw,92,Loss
11/11/13,Georgia Tech,68,Delaware St,50,Win
11/11/13,Delaware St,50,Georgia Tech,68,Loss
11/11/13,Connecticut,80,Yale,62,Win
11/11/13,Yale,62,Connecticut,80,Loss
11/11/13,North Florida,72,Ark Little Rock,70,Win
11/11/13,Ark Little Rock,70,North Florida,72,Loss
11/11/13,Miami FL,81,Ga Southern,80,Win
11/11/13,Ga Southern,80,Miami FL,81,Loss
11/11/13,Detroit,106,MI Dearborn,51,Win
11/11/13,MI Dearborn,51,Detroit,106,Loss
11/11/13,UAB,79,Rutgers,76,Win
11/11/13,Rutgers,76,UAB,79,Loss
11/11/13,IPFW,90,IU Kokomo,62,Win
11/11/13,IU Kokomo,62,IPFW,90,Loss
11/11/13,Wofford,83,Emory & Henry,58,Win
11/11/13,Emory & Henry,58,Wofford,83,Loss
11/11/13,Houston,77,TX Pan American,65,Win
11/11/13,TX Pan American,65,Houston,77,Loss
11/11/13,Texas A&M,91,MS Valley St,67,Win
11/11/13,MS Valley St,67,Texas A&M,91,Loss
11/11/13,Oklahoma,95,North Texas,82,Win
11/11/13,North Texas,82,Oklahoma,95,Loss
11/11/13,NC Central,98,J&W NC,47,Win
11/11/13,J&W NC,47,NC Central,98,Loss
11/11/13,St Francis NY,59,FL Atlantic,57,Win
11/11/13,FL Atlantic,57,St Francis NY,59,Loss
11/11/13,WI Milwaukee,81,Davidson,77,Win
11/11/13,Davidson,77,WI Milwaukee,81,Loss
11/11/13,W Carolina,74,UNC Asheville,67,Win
11/11/13,UNC Asheville,67,W Carolina,74,Loss
11/11/13,St Francis PA,60,Navy,57,Win
11/11/13,Navy,57,St Francis PA,60,Loss
11/11/13,Radford,89,Chattanooga,78,Win
11/11/13,Chattanooga,78,Radford,89,Loss
11/12/13,Campbell,73,Appalachian St,66,Win
11/12/13,Appalachian St,66,Campbell,73,Loss
11/12/13,Cent Arkansas,109,Hendrix,59,Win
11/12/13,Hendrix,59,Cent Arkansas,109,Loss
11/12/13,SF Austin,64,Texas St,57,Win
11/12/13,Texas St,57,SF Austin,64,Loss
11/12/13,Alcorn St,87,Mississippi Col,61,Win
11/12/13,Mississippi Col,61,Alcorn St,87,Loss
11/12/13,Longwood,82,TCU,79,Win
11/12/13,TCU,79,Longwood,82,Loss
11/12/13,Chicago St,79,Jacksonville St,75,Win
11/12/13,Jacksonville St,75,Chicago St,79,Loss
11/12/13,Drake,104,Iowa Wesleyan,49,Win
11/12/13,Iowa Wesleyan,49,Drake,104,Loss
11/12/13,Tennessee Tech,74,Loyola-Chicago,69,Win
11/12/13,Loyola-Chicago,69,Tennessee Tech,74,Loss
11/12/13,ULL,92,McNeese St,66,Win
11/12/13,McNeese St,66,ULL,92,Loss
11/12/13,SE Louisiana,63,Rice,62,Win
11/12/13,Rice,62,SE Louisiana,63,Loss
11/12/13,Furman,75,Gardner Webb,64,Win
11/12/13,Gardner Webb,64,Furman,75,Loss
11/12/13,Iowa St,80,TAM C. Christi,50,Win
11/12/13,TAM C. Christi,50,Iowa St,80,Loss
11/12/13,Towson,95,Morgan St,75,Win
