Date,Team,Opponent,Team Score,Opponent Score,Team Result
2/9/13,NE Omaha,IUPUI,85,78,Win
2/9/13,IUPUI,NE Omaha,78,85,Loss
2/9/13,TX Southern,Jackson St,61,54,Win
2/9/13,Jackson St,TX Southern,54,61,Loss
2/9/13,Kansas St,Iowa St,79,70,Win
2/9/13,Iowa St,Kansas St,70,79,Loss
2/9/13,Kennesaw,Jacksonville,75,68,Win
2/9/13,Jacksonville,Kennesaw,68,75,Loss
2/9/13,Kent,C Michigan,87,72,Win
2/9/13,C Michigan,Kent,72,87,Loss
2/9/13,Kentucky,Auburn,72,62,Win
2/9/13,Auburn,Kentucky,62,72,Loss
2/9/13,La Salle,Fordham,89,53,Win
2/9/13,Fordham,La Salle,53,89,Loss
2/9/13,Louisiana Tech,Texas St,84,69,Win
2/9/13,Texas St,Louisiana Tech,69,84,Loss
2/9/13,Maine,Albany NY,66,52,Win
2/9/13,Albany NY,Maine,52,66,Loss
2/9/13,Marquette,DePaul,89,78,Win
2/9/13,DePaul,Marquette,78,89,Loss
2/9/13,Massachusetts,St Joseph's PA,80,62,Win
2/9/13,St Joseph's PA,Massachusetts,62,80,Loss
2/9/13,Vermont,MD Baltimore Co,67,55,Win
2/9/13,MD Baltimore Co,Vermont,55,67,Loss
2/9/13,Mercer,North Florida,64,44,Win
2/9/13,North Florida,Mercer,44,64,Loss
2/9/13,Miami FL,North Carolina,87,61,Win
2/9/13,North Carolina,Miami FL,61,87,Loss
2/9/13,Akron,Miami OH,54,50,Win
2/9/13,Miami OH,Akron,50,54,Loss
2/9/13,Middle Tenn St,Troy,93,41,Win
2/9/13,Troy,Middle Tenn St,41,93,Loss
2/9/13,Missouri,Mississippi,98,79,Win
2/9/13,Mississippi,Missouri,79,98,Loss
2/9/13,Missouri KC,South Dakota,80,65,Win
2/9/13,South Dakota,Missouri KC,65,80,Loss
2/9/13,Montana,North Dakota,78,58,Win
2/9/13,North Dakota,Montana,58,78,Loss
2/9/13,N Colorado,Montana St,85,72,Win
2/9/13,Montana St,N Colorado,72,85,Loss
2/9/13,E Kentucky,Morehead St,68,47,Win
2/9/13,Morehead St,E Kentucky,47,68,Loss
2/9/13,MS Valley St,Alcorn St,80,75,Win
2/9/13,Alcorn St,MS Valley St,75,80,Loss
2/9/13,Murray St,Tennessee St,69,48,Win
2/9/13,Tennessee St,Murray St,48,69,Loss
2/9/13,Lafayette,Navy,70,47,Win
2/9/13,Navy,Lafayette,47,70,Loss
2/9/13,NC A&T,Bethune-Cookman,65,55,Win
2/9/13,Bethune-Cookman,NC A&T,55,65,Loss
2/9/13,NC Central,Florida A&M,51,43,Win
2/9/13,Florida A&M,NC Central,43,51,Loss
2/9/13,Nebraska,Penn St,67,53,Win
2/9/13,Penn St,Nebraska,53,67,Loss
2/9/13,Nevada,Air Force,74,69,Win
2/9/13,Air Force,Nevada,69,74,Loss
2/9/13,New Mexico St,Seattle,60,57,Win
2/9/13,Seattle,New Mexico St,57,60,Loss
2/9/13,Houston Bap,New Orleans,75,68,Win
2/9/13,New Orleans,Houston Bap,68,75,Loss
2/9/13,SE Louisiana,Nicholls St,73,62,Win
2/9/13,Nicholls St,SE Louisiana,62,73,Loss
2/9/13,Norfolk St,Delaware St,74,56,Win
2/9/13,Delaware St,Norfolk St,56,74,Loss
2/9/13,North Texas,Florida Intl,77,67,Win
2/9/13,Florida Intl,North Texas,67,77,Loss
2/9/13,E Washington,Northern Arizona,77,74,Win
2/9/13,Northern Arizona,E Washington,74,77,Loss
2/9/13,Northwestern LA,Cent Arkansas,93,73,Win
2/9/13,Cent Arkansas,Northwestern LA,73,93,Loss
2/9/13,Notre Dame,Louisville,104,101,Win
2/9/13,Louisville,Notre Dame,101,104,Loss
2/9/13,Oakland,S Dakota St,88,83,Win
2/9/13,S Dakota St,Oakland,83,88,Loss
2/9/13,Ohio,Bowling Green,72,63,Win
2/9/13,Bowling Green,Ohio,63,72,Loss
2/9/13,Oklahoma,Kansas,72,66,Win
2/9/13,Kansas,Oklahoma,66,72,Loss
2/9/13,Northeastern,Old Dominion,79,74,Win
2/9/13,Old Dominion,Northeastern,74,79,Loss
2/9/13,Oregon,Utah,73,64,Win
2/9/13,Utah,Oregon,64,73,Loss
2/9/13,Penn,Brown,71,48,Win
2/9/13,Brown,Penn,48,71,Loss
2/9/13,Pepperdine,Portland,72,68,Win
2/9/13,Portland,Pepperdine,68,72,Loss
2/9/13,Yale,Princeton,69,65,Win
2/9/13,Princeton,Yale,65,69,Loss
2/9/13,Michigan St,Purdue,78,65,Win
2/9/13,Purdue,Michigan St,65,78,Loss
2/9/13,Radford,Presbyterian,76,65,Win
2/9/13,Presbyterian,Radford,65,76,Loss
2/9/13,St Bonaventure,Rhode Island,67,61,Win
2/9/13,Rhode Island,St Bonaventure,61,67,Loss
2/9/13,SMU,Rice,61,39,Win
2/9/13,Rice,SMU,39,61,Loss
2/9/13,St Louis,Richmond,56,46,Win
2/9/13,Richmond,St Louis,46,56,Loss
2/9/13,Robert Morris,Wagner,83,79,Win
2/9/13,Wagner,Robert Morris,79,83,Loss
2/9/13,Georgetown,Rutgers,69,63,Win
2/9/13,Rutgers,Georgetown,63,69,Loss
2/9/13,Sam Houston St,Lamar,78,40,Win
2/9/13,Lamar,Sam Houston St,40,78,Loss
2/9/13,Samford,Citadel,79,67,Win
2/9/13,Citadel,Samford,67,79,Loss
2/9/13,St Mary's CA,San Diego,74,64,Win
2/9/13,San Diego,St Mary's CA,64,74,Loss
2/9/13,San Diego St,Fresno St,75,53,Win
2/9/13,Fresno St,San Diego St,53,75,Loss
2/9/13,Utah St,San Jose St,63,36,Win
2/9/13,San Jose St,Utah St,36,63,Loss
2/9/13,Santa Barbara,Pacific,66,53,Win
2/9/13,Pacific,Santa Barbara,53,66,Loss
2/9/13,Savannah St,S Carolina St,50,46,Win
2/9/13,S Carolina St,Savannah St,46,50,Loss
2/9/13,SE Missouri St,E Illinois,77,64,Win
2/9/13,E Illinois,SE Missouri St,64,77,Loss
2/9/13,SF Austin,Oral Roberts,77,67,Win
2/9/13,Oral Roberts,SF Austin,67,77,Loss
2/9/13,South Alabama,FL Atlantic,72,71,Win
2/9/13,FL Atlantic,South Alabama,71,72,Loss
2/9/13,Memphis,Southern Miss,89,76,Win
2/9/13,Southern Miss,Memphis,76,89,Loss
2/9/13,Mt St Mary's,St Francis PA,69,58,Win
2/9/13,St Francis PA,Mt St Mary's,58,69,Loss
2/9/13,ETSU,Stetson,62,61,Win
2/9/13,Stetson,ETSU,61,62,Loss
2/9/13,TAM C. Christi,McNeese St,61,58,Win
2/9/13,McNeese St,TAM C. Christi,58,61,Loss
2/9/13,West Virginia,TCU,63,50,Win
2/9/13,TCU,West Virginia,50,63,Loss
2/9/13,Tennessee Tech,Jacksonville St,78,64,Win
2/9/13,Jacksonville St,Tennessee Tech,64,78,Loss
2/9/13,Oklahoma St,Texas,72,59,Win
2/9/13,Texas,Oklahoma St,59,72,Loss
2/9/13,TN Martin,Edwardsville,77,68,Win
2/9/13,Edwardsville,TN Martin,68,77,Loss
2/9/13,Toledo,E Michigan,60,52,Win
2/9/13,E Michigan,Toledo,52,60,Loss
2/9/13,UAB,Marshall,75,61,Win
2/9/13,Marshall,UAB,61,75,Loss
2/9/13,CS Fullerton,UC Riverside,79,67,Win
2/9/13,UC Riverside,CS Fullerton,67,79,Loss
2/9/13,UCF,East Carolina,83,73,Win
2/9/13,East Carolina,UCF,73,83,Loss
2/9/13,UCLA,Washington St,76,62,Win
2/9/13,Washington St,UCLA,62,76,Loss
2/9/13,Hofstra,UNC Wilmington,65,56,Win
2/9/13,UNC Wilmington,Hofstra,56,65,Loss
2/9/13,UNLV,New Mexico,64,55,Win
2/9/13,New Mexico,UNLV,55,64,Loss
2/9/13,UT Arlington,UT San Antonio,68,63,Win
2/9/13,UT San Antonio,UT Arlington,63,68,Loss
2/9/13,Utah Valley,TX Pan American,66,49,Win
2/9/13,TX Pan American,Utah Valley,49,66,Loss
2/9/13,Tulsa,UTEP,74,70,Win
2/9/13,UTEP,Tulsa,70,74,Loss
2/9/13,Vanderbilt,Arkansas,67,49,Win
2/9/13,Arkansas,Vanderbilt,49,67,Loss
2/9/13,Villanova,South Florida,68,40,Win
2/9/13,South Florida,Villanova,40,68,Loss
2/9/13,Georgia Tech,Virginia Tech,64,54,Win
2/9/13,Virginia Tech,Georgia Tech,54,64,Loss
2/9/13,Arkansas St,W Kentucky,67,49,Win
2/9/13,W Kentucky,Arkansas St,49,67,Loss
2/9/13,Wake Forest,Florida St,71,46,Win
2/9/13,Florida St,Wake Forest,46,71,Loss
2/9/13,Weber St,Southern Utah,75,58,Win
2/9/13,Southern Utah,Weber St,58,75,Loss
2/9/13,WI Green Bay,Detroit,68,59,Win
2/9/13,Detroit,WI Green Bay,59,68,Loss
2/9/13,Wright St,WI Milwaukee,64,49,Win
2/9/13,WI Milwaukee,Wright St,49,64,Loss
2/9/13,Wichita St,Missouri St,79,50,Win
2/9/13,Missouri St,Wichita St,50,79,Loss
2/9/13,Longwood,Winthrop,62,56,Win
2/9/13,Winthrop,Longwood,56,62,Loss
2/9/13,Wisconsin,Michigan,65,62,Win
2/9/13,Michigan,Wisconsin,62,65,Loss
2/9/13,Wofford,UNC Greensboro,59,50,Win
2/9/13,UNC Greensboro,Wofford,50,59,Loss
2/8/13,Dartmouth,Columbia,60,57,Win
2/8/13,Columbia,Dartmouth,57,60,Loss
2/8/13,Harvard,Cornell,67,65,Win
2/8/13,Cornell,Harvard,65,67,Loss
2/8/13,Lipscomb,N Kentucky,76,58,Win
2/8/13,N Kentucky,Lipscomb,58,76,Loss
2/8/13,Loyola MD,Siena,63,51,Win
2/8/13,Siena,Loyola MD,51,63,Loss
2/8/13,Yale,Penn,68,59,Win
2/8/13,Penn,Yale,59,68,Loss
2/8/13,Princeton,Brown,63,46,Win
2/8/13,Brown,Princeton,46,63,Loss
2/8/13,UNC Asheville,VMI,90,79,Win
2/8/13,VMI,UNC Asheville,79,90,Loss
2/7/13,Arizona St,California,66,62,Win
2/7/13,California,Arizona St,62,66,Loss
2/7/13,Tennessee St,Austin Peay,88,82,Win
2/7/13,Austin Peay,Tennessee St,82,88,Loss
2/7/13,Bryant,St Francis NY,84,77,Win
2/7/13,St Francis NY,Bryant,77,84,Loss
2/7/13,Cal Poly SLO,Pacific,67,62,Win
2/7/13,Pacific,Cal Poly SLO,62,67,Loss
2/7/13,Long Island,Central Conn,81,75,Win
2/7/13,Central Conn,Long Island,75,81,Loss
2/7/13,Chattanooga,Citadel,89,76,Win
2/7/13,Citadel,Chattanooga,76,89,Loss
2/7/13,CS Northridge,UC Irvine,70,61,Win
2/7/13,UC Irvine,CS Northridge,61,70,Loss
2/7/13,CS Sacramento,E Washington,61,55,Win
2/7/13,E Washington,CS Sacramento,55,61,Loss
2/7/13,Davidson,W Carolina,73,59,Win
2/7/13,W Carolina,Davidson,59,73,Loss
2/7/13,Denver,Seattle,72,55,Win
2/7/13,Seattle,Denver,55,72,Loss
2/7/13,Old Dominion,Drexel,78,66,Win
2/7/13,Drexel,Old Dominion,66,78,Loss
2/7/13,Duke,NC State,98,85,Win
2/7/13,NC State,Duke,85,98,Loss
2/7/13,Fairfield,St Peter's,61,44,Win
2/7/13,St Peter's,Fairfield,44,61,Loss
2/7/13,FL Gulf Coast,ETSU,67,43,Win
2/7/13,ETSU,FL Gulf Coast,43,67,Loss
2/7/13,Florida Intl,FL Atlantic,84,65,Win
2/7/13,FL Atlantic,Florida Intl,65,84,Loss
2/7/13,UNC Greensboro,Furman,88,65,Win
2/7/13,Furman,UNC Greensboro,65,88,Loss
2/7/13,Appalachian St,Ga Southern,91,86,Win
2/7/13,Ga Southern,Appalachian St,86,91,Loss
2/7/13,Gonzaga,Pepperdine,82,56,Win
2/7/13,Pepperdine,Gonzaga,56,82,Loss
2/7/13,Hawaii,Long Beach St,94,73,Win
2/7/13,Long Beach St,Hawaii,73,94,Loss
2/7/13,Southern Utah,Idaho St,81,79,Win
2/7/13,Idaho St,Southern Utah,79,81,Loss
2/7/13,Illinois,Indiana,74,72,Win
2/7/13,Indiana,Illinois,72,74,Loss
2/7/13,Marist,Iona,105,4,Win
2/7/13,Iona,Marist,104,105,Loss
2/7/13,S Dakota St,IPFW,80,74,Win
2/7/13,IPFW,S Dakota St,74,80,Loss
2/7/13,North Florida,Kennesaw,60,52,Win
2/7/13,Kennesaw,North Florida,52,60,Loss
2/7/13,Louisiana Tech,UT San Antonio,74,49,Win
2/7/13,UT San Antonio,Louisiana Tech,49,74,Loss
2/7/13,Manhattan,Canisius,67,54,Win
2/7/13,Canisius,Manhattan,54,67,Loss
2/7/13,Mercer,Jacksonville,67,64,Win
2/7/13,Jacksonville,Mercer,64,67,Loss
2/7/13,Middle Tenn St,Arkansas St,73,60,Win
2/7/13,Arkansas St,Middle Tenn St,60,73,Loss
2/7/13,Montana,N Colorado,73,63,Win
2/7/13,N Colorado,Montana,63,73,Loss
2/7/13,North Dakota,Montana St,82,73,Win
2/7/13,Montana St,North Dakota,73,82,Loss
2/7/13,Murray St,Belmont,79,74,Win
2/7/13,Belmont,Murray St,74,79,Loss
2/7/13,New Mexico St,Idaho,76,74,Win
2/7/13,Idaho,New Mexico St,74,76,Loss
2/7/13,W Kentucky,North Texas,70,59,Win
2/7/13,North Texas,W Kentucky,59,70,Loss
2/7/13,Northern Arizona,Portland St,79,72,Win
2/7/13,Portland St,Northern Arizona,72,79,Loss
2/7/13,Northwestern LA,Oral Roberts,85,73,Win
2/7/13,Oral Roberts,Northwestern LA,73,85,Loss
2/7/13,Oakland,N Dakota St,66,63,Win
2/7/13,N Dakota St,Oakland,63,66,Loss
2/7/13,Colorado,Oregon,48,47,Win
2/7/13,Oregon,Colorado,47,48,Loss
2/7/13,Portland,Loy Marymount,69,60,Win
2/7/13,Loy Marymount,Portland,60,69,Loss
2/7/13,Quinnipiac,Monmouth NJ,79,63,Win
2/7/13,Monmouth NJ,Quinnipiac,63,79,Loss
2/7/13,Rider,Niagara,72,69,Win
2/7/13,Niagara,Rider,69,72,Loss
2/7/13,Sacred Heart,F Dickinson,77,70,Win
2/7/13,F Dickinson,Sacred Heart,70,77,Loss
2/7/13,McNeese St,Sam Houston St,59,58,Win
2/7/13,Sam Houston St,McNeese St,58,59,Loss
2/7/13,Col Charleston,Samford,69,65,Win
2/7/13,Samford,Col Charleston,65,69,Loss
2/7/13,San Diego,BYU,74,68,Win
2/7/13,BYU,San Diego,68,74,Loss
2/7/13,UC Davis,Santa Barbara,64,56,Win
2/7/13,Santa Barbara,UC Davis,56,64,Loss
2/7/13,St Mary's CA,Santa Clara,84,63,Win
2/7/13,Santa Clara,St Mary's CA,63,84,Loss
2/7/13,Hampton,Savannah St,71,68,Win
2/7/13,Savannah St,Hampton,68,71,Loss
2/7/13,SE Missouri St,Edwardsville,76,67,Win
2/7/13,Edwardsville,SE Missouri St,67,76,Loss
2/7/13,SF Austin,Cent Arkansas,72,36,Win
2/7/13,Cent Arkansas,SF Austin,36,72,Loss
2/7/13,South Alabama,Troy,65,62,Win
2/7/13,Troy,South Alabama,62,65,Loss
2/7/13,Stetson,SC Upstate,73,66,Win
2/7/13,SC Upstate,Stetson,66,73,Loss
2/7/13,Lamar,TAM C. Christi,67,63,Win
2/7/13,TAM C. Christi,Lamar,63,67,Loss
2/7/13,Texas A&M,Missouri,70,68,Win
2/7/13,Missouri,Texas A&M,68,70,Loss
2/7/13,E Illinois,TN Martin,93,65,Win
2/7/13,TN Martin,E Illinois,65,93,Loss
2/7/13,UCLA,Washington,59,57,Win
2/7/13,Washington,UCLA,57,59,Loss
2/7/13,Ark Little Rock,ULM,70,60,Win
2/7/13,ULM,Ark Little Rock,60,70,Loss
2/7/13,USC,Washington St,72,68,Win
2/7/13,Washington St,USC,68,72,Loss
2/7/13,UT Arlington,Texas St,75,50,Win
2/7/13,Texas St,UT Arlington,50,75,Loss
2/7/13,Virginia,Clemson,78,41,Win
2/7/13,Clemson,Virginia,41,78,Loss
2/7/13,Maryland,Virginia Tech,60,55,Win
2/7/13,Virginia Tech,Maryland,55,60,Loss
2/7/13,W Illinois,NE Omaha,68,50,Win
2/7/13,NE Omaha,W Illinois,50,68,Loss
2/7/13,Wright St,WI Green Bay,70,68,Win
2/7/13,WI Green Bay,Wright St,68,70,Loss
2/7/13,Detroit,WI Milwaukee,82,74,Win
2/7/13,WI Milwaukee,Detroit,74,82,Loss
2/7/13,Wofford,Elon,60,50,Win
2/7/13,Elon,Wofford,50,60,Loss
2/7/13,Youngstown St,Loyola-Chicago,60,59,Win
2/7/13,Loyola-Chicago,Youngstown St,59,60,Loss
2/6/13,Arizona,Stanford,73,66,Win
2/6/13,Stanford,Arizona,66,73,Loss
2/6/13,Auburn,Alabama,49,37,Win
2/6/13,Alabama,Auburn,37,49,Loss
2/6/13,Ohio,Ball St,69,42,Win
2/6/13,Ball St,Ohio,42,69,Loss
2/6/13,Hartford,Binghamton,76,62,Win
2/6/13,Binghamton,Hartford,62,76,Loss
2/6/13,Butler,St Bonaventure,77,58,Win
2/6/13,St Bonaventure,Butler,58,77,Loss
2/6/13,High Point,Campbell,58,52,Win
2/6/13,Campbell,High Point,52,58,Loss
2/6/13,Coastal Car,Charleston So,73,53,Win
2/6/13,Charleston So,Coastal Car,53,73,Loss
2/6/13,NJIT,Colgate,77,58,Win
2/6/13,Colgate,NJIT,58,77,Loss
2/6/13,Wyoming,CS Bakersfield,61,53,Win
2/6/13,CS Bakersfield,Wyoming,53,61,Loss
2/6/13,Dayton,St Joseph's PA,60,54,Win
2/6/13,St Joseph's PA,Dayton,54,60,Loss
2/6/13,Illinois St,Drake,94,86,Win
2/6/13,Drake,Illinois St,86,94,Loss
2/6/13,G Washington,Duquesne,79,57,Win
2/6/13,Duquesne,G Washington,57,79,Loss
2/6/13,E Michigan,Buffalo,65,46,Win
2/6/13,Buffalo,E Michigan,46,65,Loss
2/6/13,St Louis,Fordham,90,73,Win
2/6/13,Fordham,St Louis,73,90,Loss
2/6/13,Fresno St,UNLV,64,55,Win
2/6/13,UNLV,Fresno St,55,64,Loss
2/6/13,Northeastern,Hofstra,62,57,Win
2/6/13,Hofstra,Northeastern,57,62,Loss
2/6/13,Houston Bap,Missouri KC,66,45,Win
2/6/13,Missouri KC,Houston Bap,45,66,Loss
2/6/13,Indiana St,Creighton,76,57,Win
2/6/13,Creighton,Indiana St,57,76,Loss
2/6/13,James Madison,William & Mary,81,71,Win
2/6/13,William & Mary,James Madison,71,81,Loss
2/6/13,VMI,Longwood,93,60,Win
2/6/13,Longwood,VMI,60,93,Loss
2/6/13,LSU,Vanderbilt,57,56,Win
2/6/13,Vanderbilt,LSU,56,57,Loss
2/6/13,Massachusetts,Rhode Island,81,53,Win
2/6/13,Rhode Island,Massachusetts,53,81,Loss
2/6/13,Albany NY,MD Baltimore Co,79,56,Win
2/6/13,MD Baltimore Co,Albany NY,56,79,Loss
2/6/13,Michigan St,Minnesota,61,50,Win
2/6/13,Minnesota,Michigan St,50,61,Loss
2/6/13,Mississippi,Mississippi St,93,75,Win
2/6/13,Mississippi St,Mississippi,75,93,Loss
2/6/13,Bowling Green,N Illinois,57,41,Win
2/6/13,N Illinois,Bowling Green,41,57,Loss
2/6/13,Colorado St,Nevada,73,69,Win
2/6/13,Nevada,Colorado St,69,73,Loss
2/6/13,New Mexico,Air Force,81,58,Win
2/6/13,Air Force,New Mexico,58,81,Loss
2/6/13,New Orleans,TX Pan American,75,73,Win
2/6/13,TX Pan American,New Orleans,73,75,Loss
2/6/13,Oklahoma St,Baylor,69,67,Win
2/6/13,Baylor,Oklahoma St,67,69,Loss
2/6/13,Oregon St,Utah,82,64,Win
2/6/13,Utah,Oregon St,64,82,Loss
2/6/13,Presbyterian,Gardner Webb,57,54,Win
2/6/13,Gardner Webb,Presbyterian,54,57,Loss
2/6/13,Providence,Cincinnati,54,50,Win
2/6/13,Cincinnati,Providence,50,54,Loss
2/6/13,Robert Morris,St Francis PA,60,48,Win
2/6/13,St Francis PA,Robert Morris,48,60,Loss
2/6/13,Louisville,Rutgers,68,48,Win
2/6/13,Rutgers,Louisville,48,68,Loss
2/6/13,San Diego St,Boise St,63,62,Win
2/6/13,Boise St,San Diego St,62,63,Loss
2/6/13,Memphis,SMU,60,52,Win
2/6/13,SMU,Memphis,52,60,Loss
2/6/13,Marquette,South Florida,70,47,Win
2/6/13,South Florida,Marquette,47,70,Loss
2/6/13,St John's,Connecticut,71,65,Win
2/6/13,Connecticut,St John's,65,71,Loss
2/6/13,TCU,Kansas,62,55,Win
2/6/13,Kansas,TCU,55,62,Loss
2/6/13,Temple,Charlotte,89,88,Win
2/6/13,Charlotte,Temple,88,89,Loss
2/6/13,Georgia,Tennessee,68,62,Win
2/6/13,Tennessee,Georgia,62,68,Loss
2/6/13,Toledo,Miami OH,65,64,Win
2/6/13,Miami OH,Toledo,64,65,Loss
2/6/13,Towson,Delaware,85,65,Win
2/6/13,Delaware,Towson,65,85,Loss
2/6/13,Tulane,Marshall,91,75,Win
2/6/13,Marshall,Tulane,75,91,Loss
2/6/13,UAB,Tulsa,70,63,Win
2/6/13,Tulsa,UAB,63,70,Loss
2/6/13,UCF,Southern Miss,60,58,Win
2/6/13,Southern Miss,UCF,58,60,Loss
2/6/13,UNC Asheville,Winthrop,69,56,Win
2/6/13,Winthrop,UNC Asheville,56,69,Loss
2/6/13,UNC Wilmington,Georgia St,76,72,Win
2/6/13,Georgia St,UNC Wilmington,72,76,Loss
2/6/13,UTEP,Rice,65,53,Win
2/6/13,Rice,UTEP,53,65,Loss
2/6/13,Vermont,New Hampshire,63,48,Win
2/6/13,New Hampshire,Vermont,48,63,Loss
2/6/13,W Michigan,Kent,82,76,Win
2/6/13,Kent,W Michigan,76,82,Loss
2/6/13,Wagner,Mt St Mary's,74,65,Win
2/6/13,Mt St Mary's,Wagner,65,74,Loss
2/6/13,Wisconsin,Iowa,74,70,Win
2/6/13,Iowa,Wisconsin,70,74,Loss
2/5/13,Akron,C Michigan,68,56,Win
2/5/13,C Michigan,Akron,56,68,Loss
2/5/13,Arkansas,Florida,80,69,Win
2/5/13,Florida,Arkansas,69,80,Loss
2/5/13,Boston Univ,Maine,79,72,Win
2/5/13,Maine,Boston Univ,72,79,Loss
2/5/13,Bradley,Evansville,76,70,Win
2/5/13,Evansville,Bradley,70,76,Loss
2/5/13,Cleveland St,Youngstown St,66,60,Win
2/5/13,Youngstown St,Cleveland St,60,66,Loss
2/5/13,Villanova,DePaul,94,71,Win
2/5/13,DePaul,Villanova,71,94,Loss
2/5/13,Florida St,Georgia Tech,56,54,Win
2/5/13,Georgia Tech,Florida St,54,56,Loss
2/5/13,Kentucky,South Carolina,77,55,Win
2/5/13,South Carolina,Kentucky,55,77,Loss
2/5/13,Liberty,Radford,75,70,Win
2/5/13,Radford,Liberty,70,75,Loss
2/5/13,Miami FL,Boston College,72,50,Win
2/5/13,Boston College,Miami FL,50,72,Loss
2/5/13,Michigan,Ohio St,76,74,Win
2/5/13,Ohio St,Michigan,74,76,Loss
2/5/13,North Carolina,Wake Forest,87,62,Win
2/5/13,Wake Forest,North Carolina,62,87,Loss
2/5/13,Northern Iowa,Missouri St,48,37,Win
2/5/13,Missouri St,Northern Iowa,37,48,Loss
2/5/13,Purdue,Penn St,58,49,Win
2/5/13,Penn St,Purdue,49,58,Loss
2/5/13,S Illinois,Wichita St,64,62,Win
2/5/13,Wichita St,S Illinois,62,64,Loss
2/5/13,Kansas St,Texas Tech,68,59,Win
2/5/13,Texas Tech,Kansas St,59,68,Loss
2/5/13,Valparaiso,IL Chicago,86,61,Win
2/5/13,IL Chicago,Valparaiso,61,86,Loss
2/4/13,Ark Pine Bluff,Alabama A&M,76,67,Win
2/4/13,Alabama A&M,Ark Pine Bluff,67,76,Loss
2/4/13,Alabama St,MS Valley St,73,65,Win
2/4/13,MS Valley St,Alabama St,65,73,Loss
2/4/13,Alcorn St,Grambling,78,53,Win
2/4/13,Grambling,Alcorn St,53,78,Loss
2/4/13,Hampton,Coppin St,59,53,Win
2/4/13,Coppin St,Hampton,53,59,Loss
2/4/13,Northern Arizona,CS Sacramento,62,61,Win
2/4/13,CS Sacramento,Northern Arizona,61,62,Loss
2/4/13,Delaware St,NC A&T,53,44,Win
2/4/13,NC A&T,Delaware St,44,53,Loss
2/4/13,Howard,S Carolina St,57,45,Win
2/4/13,S Carolina St,Howard,45,57,Loss
2/4/13,Iowa St,Oklahoma,83,64,Win
2/4/13,Oklahoma,Iowa St,64,83,Loss
2/4/13,San Diego,Loy Marymount,69,68,Win
2/4/13,Loy Marymount,San Diego,68,69,Loss
2/4/13,NC Central,MD E Shore,82,54,Win
2/4/13,MD E Shore,NC Central,54,82,Loss
2/4/13,Norfolk St,Morgan St,64,59,Win
2/4/13,Morgan St,Norfolk St,59,64,Loss
