Date,Team,Opponent,Team Score,Opponent Score,Team Result
2/4/13,George Mason,Old Dominion,85,74,Win
2/4/13,Old Dominion,George Mason,74,85,Loss
2/4/13,Pittsburgh,Seton Hall,56,46,Win
2/4/13,Seton Hall,Pittsburgh,46,56,Loss
2/4/13,Fairfield,Siena,64,54,Win
2/4/13,Siena,Fairfield,54,64,Loss
2/4/13,Southern Univ,Jackson St,78,58,Win
2/4/13,Jackson St,Southern Univ,58,78,Loss
2/4/13,Syracuse,Notre Dame,63,47,Win
2/4/13,Notre Dame,Syracuse,47,63,Loss
2/4/13,Towson,UNC Wilmington,81,68,Win
2/4/13,UNC Wilmington,Towson,68,81,Loss
2/4/13,West Virginia,Texas,60,58,Win
2/4/13,Texas,West Virginia,58,60,Loss
2/4/13,Wright St,Loyola-Chicago,62,59,Win
2/4/13,Loyola-Chicago,Wright St,59,62,Loss
2/3/13,Lehigh,Army,85,76,Win
2/3/13,Army,Lehigh,76,85,Loss
2/3/13,Connecticut,South Florida,69,64,Win
2/3/13,South Florida,Connecticut,64,69,Loss
2/3/13,Georgia Tech,Virginia,66,60,Win
2/3/13,Virginia,Georgia Tech,60,66,Loss
2/3/13,Wisconsin,Illinois,74,68,Win
2/3/13,Illinois,Wisconsin,68,74,Loss
2/3/13,Louisville,Marquette,70,51,Win
2/3/13,Marquette,Louisville,51,70,Loss
2/3/13,Manhattan,St Peter's,57,49,Win
2/3/13,St Peter's,Manhattan,49,57,Loss
2/3/13,Rider,Marist,64,58,Win
2/3/13,Marist,Rider,58,64,Loss
2/3/13,Northwestern LA,McNeese St,86,74,Win
2/3/13,McNeese St,Northwestern LA,74,86,Loss
2/3/13,Minnesota,Iowa,62,59,Win
2/3/13,Iowa,Minnesota,59,62,Loss
2/3/13,Stanford,Oregon St,81,73,Win
2/3/13,Oregon St,Stanford,73,81,Loss
2/3/13,Providence,Villanova,55,52,Win
2/3/13,Villanova,Providence,52,55,Loss
2/2/13,Air Force,San Diego St,70,67,Win
2/2/13,San Diego St,Air Force,67,70,Loss
2/2/13,Akron,Ohio,86,72,Win
2/2/13,Ohio,Akron,72,86,Loss
2/2/13,Alabama A&M,MS Valley St,65,64,Win
2/2/13,MS Valley St,Alabama A&M,64,65,Loss
